path,template,issue,detail
/card/renekton-butcher-of-the-sands-ven-190,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/renekton-butcher-of-the-sands-ven-141"
/card/ambessa-respected-and-feared-ven-187,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/ambessa-respected-and-feared-ven-136a"
/card/shen-scourge-of-shadows-ven-170,card,NEAR_DUPLICATE_DESCRIPTION,"2 others, e.g. /card/shen-scourge-of-shadows-ven-042a"
/card/nasus-guardian-of-knowledge-ven-178,card,NEAR_DUPLICATE_DESCRIPTION,"2 others, e.g. /card/nasus-guardian-of-knowledge-ven-063a"
/card/chaos-rune-sfd-r05b,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/chaos-rune-sfd-r05a"
/card/calm-rune-sfd-r02b,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/calm-rune-sfd-r02a"
/card/akali-silent-ven-038a,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/akali-silent-ven-038"
/card/mind-rune-sfd-r03b,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/mind-rune-sfd-r03a"
/card/order-rune-sfd-r06b,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/order-rune-sfd-r06a"
/card/chaos-rune-unl-r05b,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/chaos-rune-unl-r05a"
/card/fury-rune-sfd-r01b,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/fury-rune-sfd-r01a"
/card/chaos-rune-unl-r05a,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/chaos-rune-unl-r05b"
/card/calm-rune-unl-r02a,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/calm-rune-unl-r02b"
/card/calm-rune-unl-r02b,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/calm-rune-unl-r02a"
/card/mind-rune-unl-r03b,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/mind-rune-unl-r03a"
/card/fury-rune-unl-r01b,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/fury-rune-unl-r01a"
/card/chaos-rune-sfd-r05a,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/chaos-rune-sfd-r05b"
/card/body-rune-sfd-r04b,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/body-rune-sfd-r04a"
/card/mind-rune-sfd-r03a,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/mind-rune-sfd-r03b"
/card/mind-rune-unl-r03a,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/mind-rune-unl-r03b"
/card/calm-rune-sfd-r02a,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/calm-rune-sfd-r02b"
/card/order-rune-unl-r06b,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/order-rune-unl-r06a"
/card/fury-rune-unl-r01a,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/fury-rune-unl-r01b"
/card/order-rune-sfd-r06a,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/order-rune-sfd-r06b"
/card/order-rune-unl-r06a,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/order-rune-unl-r06b"
/card/body-rune-unl-r04b,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/body-rune-unl-r04a"
/card/zed-from-the-shadows-ven-023a,card,NEAR_DUPLICATE_DESCRIPTION,"2 others, e.g. /card/zed-from-the-shadows-ven-169"
/card/body-rune-unl-r04a,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/body-rune-unl-r04b"
/card/riven-shattered-ven-041-166-promo,card,NEAR_DUPLICATE_DESCRIPTION,"2 others, e.g. /card/riven-shattered-ven-041a-166-promo"
/card/order-rune-ogn-214b-298-promo,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/order-rune-ogn-nn1-promo"
/card/ambessa-respected-and-feared-ven-136a,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/ambessa-respected-and-feared-ven-187"
/card/fury-rune-sfd-r01a,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/fury-rune-sfd-r01b"
/card/order-rune-ogn-nn1-promo,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/order-rune-ogn-214b-298-promo"
/card/body-rune-sfd-r04a,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/body-rune-sfd-r04b"
/card/renekton-brute-ven-092a,card,NEAR_DUPLICATE_DESCRIPTION,"2 others, e.g. /card/renekton-brute-ven-177"
/card/jayce-brilliant-inventor-ven-068a,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/jayce-brilliant-inventor-ven-068"
/card/mel-defiant-soul-ven-110a,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/mel-defiant-soul-ven-188"
/card/nasus-guardian-of-knowledge-ven-063a,card,NEAR_DUPLICATE_DESCRIPTION,"2 others, e.g. /card/nasus-guardian-of-knowledge-ven-178"
/card/shen-scourge-of-shadows-ven-042a,card,NEAR_DUPLICATE_DESCRIPTION,"2 others, e.g. /card/shen-scourge-of-shadows-ven-170"
/card/blade-twirler-ven-002-166-promo,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/blade-twirler-ven-002"
/card/jayce-brilliant-inventor-ven-068,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/jayce-brilliant-inventor-ven-068a"
/card/zed-from-the-shadows-ven-023,card,NEAR_DUPLICATE_DESCRIPTION,"2 others, e.g. /card/zed-from-the-shadows-ven-169"
/card/renekton-brute-ven-092,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/renekton-brute-ven-092a"
/card/akali-silent-ven-038,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/akali-silent-ven-038a"
/card/recruit-zn-ogn-273-298,card,NEAR_DUPLICATE_DESCRIPTION,"2 others, e.g. /card/recruit-de-ogn-271-298"
/card/riven-shattered-ven-041,card,NEAR_DUPLICATE_DESCRIPTION,"2 others, e.g. /card/riven-shattered-ven-041a-166-promo"
/card/illaoi-prophet-of-the-great-kraken-ven-109,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/illaoi-prophet-of-the-great-kraken-ven-182"
/card/nasus-guardian-of-knowledge-ven-063,card,NEAR_DUPLICATE_DESCRIPTION,"2 others, e.g. /card/nasus-guardian-of-knowledge-ven-178"
/card/shen-scourge-of-shadows-ven-042,card,NEAR_DUPLICATE_DESCRIPTION,"2 others, e.g. /card/shen-scourge-of-shadows-ven-170"
/card/yordle-heart-of-the-tempest-ven-155,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/yordle-heart-of-the-tempest-ven-197"
/card/nasus-curator-of-the-sands-ven-145,card,NEAR_DUPLICATE_DESCRIPTION,"2 others, e.g. /card/nasus-curator-of-the-sands-ven-192s-166"
/card/renekton-butcher-of-the-sands-ven-141,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/renekton-butcher-of-the-sands-ven-190"
/card/recruit-de-ogn-271-298,card,NEAR_DUPLICATE_DESCRIPTION,"2 others, e.g. /card/recruit-zn-ogn-273-298"
/card/sanction-ven-035,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/mesmerize-ven-052"
/card/recruit-nx-ogn-272-298,card,NEAR_DUPLICATE_DESCRIPTION,"2 others, e.g. /card/recruit-zn-ogn-273-298"
/card/blade-twirler-ven-002,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/blade-twirler-ven-002-166-promo"
/card/mesmerize-ven-052,card,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /card/sanction-ven-035"
/sets/origins,set,NEAR_DUPLICATE_DESCRIPTION,"2 others, e.g. /sets/unleashed"
/sets/origins/gallery,set/gallery,NEAR_DUPLICATE_DESCRIPTION,"4 others, e.g. /sets/proving-grounds/gallery"
/sets/proving-grounds/gallery,set/gallery,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /sets/origins/gallery"
/sets/spiritforged/gallery,set/gallery,NEAR_DUPLICATE_DESCRIPTION,"3 others, e.g. /sets/origins/gallery"
/sets/unleashed,set,NEAR_DUPLICATE_DESCRIPTION,"2 others, e.g. /sets/origins"
/sets/unleashed/gallery,set/gallery,NEAR_DUPLICATE_DESCRIPTION,"3 others, e.g. /sets/origins/gallery"
/sets/vendetta,set,NEAR_DUPLICATE_DESCRIPTION,"2 others, e.g. /sets/origins"
/sets/vendetta/gallery,set/gallery,NEAR_DUPLICATE_DESCRIPTION,"3 others, e.g. /sets/origins/gallery"
/keywords/burn,keyword,THIN_EDITORIAL,70 prose words
/keywords/ambush,keyword,THIN_EDITORIAL,117 prose words
/keywords/tank,keyword,THIN_EDITORIAL,117 prose words
/keywords/shield,keyword,THIN_EDITORIAL,107 prose words
/keywords/backline,keyword,THIN_EDITORIAL,57 prose words
/keywords/ganking,keyword,THIN_EDITORIAL,115 prose words
/keywords/legion,keyword,THIN_EDITORIAL,58 prose words
/keywords/level,keyword,THIN_EDITORIAL,60 prose words
/keywords/hunt,keyword,THIN_EDITORIAL,86 prose words
/keywords/weaponmaster,keyword,THIN_EDITORIAL,106 prose words
/keywords/equip,keyword,THIN_EDITORIAL,101 prose words
/keywords/accelerate,keyword,THIN_EDITORIAL,103 prose words
/keywords/vision,keyword,THIN_EDITORIAL,88 prose words
/keywords/deathknell,keyword,THIN_EDITORIAL,92 prose words
/keywords/predict,keyword,THIN_EDITORIAL,97 prose words
/keywords/add,keyword,THIN_EDITORIAL,90 prose words
/keywords/buff,keyword,THIN_EDITORIAL,58 prose words
/keywords/stun,keyword,THIN_EDITORIAL,103 prose words
/keywords/mighty,keyword,THIN_EDITORIAL,61 prose words
/keywords/unique,keyword,THIN_EDITORIAL,48 prose words
/keywords/temporary,keyword,THIN_EDITORIAL,54 prose words
/keywords/repeat,keyword,THIN_EDITORIAL,49 prose words
/champions/leona,champion,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /champions/shen"
/champions/shen,champion,NEAR_DUPLICATE_DESCRIPTION,"1 others, e.g. /champions/leona"
/decks/irelia-blade-dancer,deck,EMPTY_SECTION,Decklist · 55 cards + legend
/decks/kennen-heart-of-the-tempest,deck,EMPTY_SECTION,Decklist · 55 cards + legend
/decks/master-yi-wuju-bladesman,deck,EMPTY_SECTION,Decklist · 55 cards + legend
/decks/diana-scorn-of-the-moon,deck,EMPTY_SECTION,Decklist · 55 cards + legend
/decks/viktor-herald-of-the-arcane,deck,EMPTY_SECTION,Decklist · 55 cards + legend
/decks/jayce-defender-of-tomorrow,deck,EMPTY_SECTION,Decklist · 55 cards + legend
/decks/akali-rogue-assassin,deck,EMPTY_SECTION,Decklist · 55 cards + legend
/decks/ezreal-prodigal-explorer,deck,EMPTY_SECTION,Decklist · 55 cards + legend
/decks/reksai-void-burrower,deck,EMPTY_SECTION,Decklist · 55 cards + legend
/decks/draven-glorious-executioner,deck,EMPTY_SECTION,Decklist · 55 cards + legend
/guides/best-riftbound-cards,guide,EMPTY_SECTION,The most-played cards in Riftbound
/guides/best-riftbound-cards,guide,EMPTY_SECTION,"The core, if you are buying in"
/guides/cheapest-way-to-start-riftbound,guide,EMPTY_SECTION,The four ways in
/marketplace/faq,static,THIN_EDITORIAL,38 prose words
/marketplace/seller/cms878f5k000013mt8j1i026i,marketplace/seller,THIN_EDITORIAL,75 prose words
/marketplace/seller/cms878f5k000013mt8j1i026i,marketplace/seller,EMPTY_SECTION,Electro
/marketplace/seller/cms8c5cjz0000cu44kay84nlt,marketplace/seller,THIN_EDITORIAL,20 prose words
/marketplace/seller/cms8c5cjz0000cu44kay84nlt,marketplace/seller,EMPTY_SECTION,RiftDog
